"id";"zipcode";"city";"street";"from";"to";"state";"county"
"000001";"01067";"Dresden";"Adlergasse";;;"Sachsen";"Dresden"
"000002";"01067";"Dresden";"Alfred-Althus-Str.";;;"Sachsen";"Dresden"
"000003";"01067";"Dresden";"Altmarkt";;;"Sachsen";"Dresden"
"000004";"01067";"Dresden";"Am Queckbrunnen";;;"Sachsen";"Dresden"
"000005";"01067";"Dresden";"Am SchieÃŸhaus";;;"Sachsen";"Dresden"
"000006";"01067";"Dresden";"Am See";;;"Sachsen";"Dresden"
"000007";"01067";"Dresden";"Am Zwingerteich";;;"Sachsen";"Dresden"
"000008";"01067";"Dresden";"Ammonstr.";"25";"999";"Sachsen";"Dresden"
"000009";"01067";"Dresden";"Ammonstr.";"68";"998";"Sachsen";"Dresden"
"000010";"01067";"Dresden";"An der Frauenkirche";;;"Sachsen";"Dresden"
